persona,moment,rating,line,when (for the writer),character (for the writer)
chmeyti,setup,18,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"playful opportunist: gloats, fake sympathy"
chmeyti,dumped_on_you,clean,,You take points because of its card,"playful opportunist: gloats, fake sympathy"
chmeyti,dumped_on_you,18,,You take points because of its card,"playful opportunist: gloats, fake sympathy"
chmeyti,took_points,clean,,It takes the K♥ or a big pile of points itself,"playful opportunist: gloats, fake sympathy"
chmeyti,took_points,18,,It takes the K♥ or a big pile of points itself,"playful opportunist: gloats, fake sympathy"
chmeyti,you_took_king,clean,,You take the K♥,"playful opportunist: gloats, fake sympathy"
chmeyti,you_took_king,18,,You take the K♥,"playful opportunist: gloats, fake sympathy"
chmeyti,sweep,clean,,Anyone takes all 8 tricks in general,"playful opportunist: gloats, fake sympathy"
chmeyti,sweep,18,,Anyone takes all 8 tricks in general,"playful opportunist: gloats, fake sympathy"
chmeyti,trix_out,clean,,It goes out first in trix,"playful opportunist: gloats, fake sympathy"
chmeyti,trix_out,18,,It goes out first in trix,"playful opportunist: gloats, fake sympathy"
chmeyti,near_1000,clean,,Someone passes 900,"playful opportunist: gloats, fake sympathy"
chmeyti,near_1000,18,,Someone passes 900,"playful opportunist: gloats, fake sympathy"
chmeyti,reset_1000,clean,,Someone lands on exactly 1000 and goes back to 0,"playful opportunist: gloats, fake sympathy"
chmeyti,reset_1000,18,,Someone lands on exactly 1000 and goes back to 0,"playful opportunist: gloats, fake sympathy"
chmeyti,game_won,clean,,It wins the game,"playful opportunist: gloats, fake sympathy"
chmeyti,game_won,18,,It wins the game,"playful opportunist: gloats, fake sympathy"
chmeyti,game_lost,clean,,It loses the game,"playful opportunist: gloats, fake sympathy"
chmeyti,game_lost,18,,It loses the game,"playful opportunist: gloats, fake sympathy"
chmeyti,hurry_up,clean,,You take more than 20 seconds,"playful opportunist: gloats, fake sympathy"
chmeyti,hurry_up,18,,You take more than 20 seconds,"playful opportunist: gloats, fake sympathy"
chmeyti,banter,clean,,Answering another persona that just talked,"playful opportunist: gloats, fake sympathy"
chmeyti,banter,18,,Answering another persona that just talked,"playful opportunist: gloats, fake sympathy"
waben,hello,clean,,The game starts,"funny asshole: trash talk, roasts"
waben,hello,18,,The game starts,"funny asshole: trash talk, roasts"
waben,pick,clean,,It picks a contract,"funny asshole: trash talk, roasts"
waben,pick,18,,It picks a contract,"funny asshole: trash talk, roasts"
waben,declare,clean,,It declares the K♥,"funny asshole: trash talk, roasts"
waben,declare,18,,It declares the K♥,"funny asshole: trash talk, roasts"
waben,setup,clean,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"funny asshole: trash talk, roasts"
waben,setup,18,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"funny asshole: trash talk, roasts"
waben,dumped_on_you,clean,,You take points because of its card,"funny asshole: trash talk, roasts"
waben,dumped_on_you,18,,You take points because of its card,"funny asshole: trash talk, roasts"
waben,took_points,clean,,It takes the K♥ or a big pile of points itself,"funny asshole: trash talk, roasts"
waben,took_points,18,,It takes the K♥ or a big pile of points itself,"funny asshole: trash talk, roasts"
waben,you_took_king,clean,,You take the K♥,"funny asshole: trash talk, roasts"
waben,you_took_king,18,,You take the K♥,"funny asshole: trash talk, roasts"
waben,sweep,clean,,Anyone takes all 8 tricks in general,"funny asshole: trash talk, roasts"
waben,sweep,18,,Anyone takes all 8 tricks in general,"funny asshole: trash talk, roasts"
waben,trix_out,clean,,It goes out first in trix,"funny asshole: trash talk, roasts"
waben,trix_out,18,,It goes out first in trix,"funny asshole: trash talk, roasts"
waben,near_1000,clean,,Someone passes 900,"funny asshole: trash talk, roasts"
waben,near_1000,18,,Someone passes 900,"funny asshole: trash talk, roasts"
waben,reset_1000,clean,,Someone lands on exactly 1000 and goes back to 0,"funny asshole: trash talk, roasts"
waben,reset_1000,18,,Someone lands on exactly 1000 and goes back to 0,"funny asshole: trash talk, roasts"
waben,game_won,clean,,It wins the game,"funny asshole: trash talk, roasts"
waben,game_won,18,,It wins the game,"funny asshole: trash talk, roasts"
waben,game_lost,clean,,It loses the game,"funny asshole: trash talk, roasts"
waben,game_lost,18,,It loses the game,"funny asshole: trash talk, roasts"
waben,hurry_up,clean,,You take more than 20 seconds,"funny asshole: trash talk, roasts"
waben,hurry_up,18,,You take more than 20 seconds,"funny asshole: trash talk, roasts"
waben,banter,clean,,Answering another persona that just talked,"funny asshole: trash talk, roasts"
waben,banter,18,,Answering another persona that just talked,"funny asshole: trash talk, roasts"
